Title,Price,Specs,URL
 MacBook Air M3 15 inch 2024 24GB - 512GB Sạc 70W | Chính hãng Apple Việt Nam ,47990000.0,"Loại card đồ họa: GPU 10 lõi, Dung lượng RAM: 24GB, Ổ cứng: 512GB SSD, Kích thước màn hình: 15.3 inches, Công nghệ màn hình: True Tone, Hệ điều hành: MacOS, Loại CPU: ['CPU Apple M3 8 Lõi', 'Neural Engine 16 lõi'], Cổng giao tiếp: ['Cổng sạc MagSafe 3', 'Hai cổng Thunderbolt / USB 4']",https://cellphones.com.vn/macbook-air-m3-15-inch-24gb-512gb-2024-sac-70w.html
 MacBook Air 15 inch M3 16GB - 1TB 2024 Sạc 70W | Chính hãng Apple Việt Nam ,47990000.0,"Loại card đồ họa: ['GPU 10 lõi ', 'Neural Engine 16 lõi'], Dung lượng RAM: 16GB, Ổ cứng: 1TB, Kích thước màn hình: 15.3 inches, Công nghệ màn hình: ['True Tone', 'Độ sáng 500 nit', 'Hỗ trợ một tỷ màu ', 'Dải màu rộng (P3)'], Pin: Pin Li-Po 66.5 watt-giờ, Hệ điều hành: MacOS, Độ phân giải màn hình: 2880 x 1864 pixels, Loại CPU: Apple M3 8 Lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điện, Cổng giao tiếp: ['Cổng MagSafe 3 ', ' Jack cắm tai nghe 3.5 mm ', ' Hai cổng Thunderbolt / USB 4']",https://cellphones.com.vn/macbook-air-15-inch-m3-16gb-1tb-2024-sac-70w.html
 Apple MacBook Air M2 2022 8GB 256GB I Chính hãng Apple Việt Nam ,23990000.0,"Loại card đồ họa: 8 nhân GPU, 16 nhân Neural Engine, Dung lượng RAM: 8GB, Ổ cứng: 256GB, Kích thước màn hình: 13.6 inches, Công nghệ màn hình: Liquid Retina Display, Pin: 52,6 Wh, Hệ điều hành: MacOS, Độ phân giải màn hình: 2560 x 1664 pixels, Cổng giao tiếp: [' 2 x Thunderbolt 3', 'Jack tai nghe 3.5 mm', 'MagSafe 3']",https://cellphones.com.vn/macbook-air-m2-2022.html
 MacBook Pro 14 inch M2 Max 64GB 2023 (12 CPU - 30 GPU - 64GB - 1TB)  ,88990000.0,"Loại card đồ họa: 30 nhân GPU, Dung lượng RAM: 64GB, Số khe ram: Không hỗ trợ nâng cấp, Ổ cứng: 1TB SSD, Kích thước màn hình: 14.2 inches, Công nghệ màn hình: ['Tần số quét 120Hz', 'Công nghệ Liquid Retina, Mini LED, XDR', '1 tỷ màu'], Pin: ['70Wh', 'Đi kèm củ sạc 96W'], Hệ điều hành: MacOS, Độ phân giải màn hình: 3024 x 1964 pixels , Loại CPU: Apple M2 Max 12 nhân, Cổng giao tiếp: ['1x Headphone jack ', ' 1x MagSafe ', ' 1x HDMI ', ' 1x Thunderbolt 4 ', ' 1x SDXC']",https://cellphones.com.vn/macbook-pro-14-inch-m2-max-64gb-2023.html
 Laptop ASUS ExpertBook B1 B1402CVA-NK0149W ,12490000.0,"Loại card đồ họa: Intel UHD Graphics, Dung lượng RAM: 8GB, Loại RAM: DDR4 Onboard, Ổ cứng: 256GB M.2 2280 NVMe PCIe 4.0 SSD, Kích thước màn hình: 14 inches, Công nghệ màn hình: ['LED Backlit', ' Độ sáng 250nits', ' Độ phủ màu NTSC: 45%', ' Góc nhìn (H/V) 90/65', ' Thời gian phản hồi (Typ/Max) (ms) 10/20', ' Độ tương phản 500:1', ' Màn hình 16:9', 'Màn hình chống chói'], Pin: 42WHrs, 3S1P, 3-cell Li-ion, Hệ điều hành: Windows 11 Home, Độ phân giải màn hình: 1920 x 1080 pixels (FullHD), Loại CPU: Intel Core i5-1335U (1.3GHz, 12M Cache, up to 4.6GHz, 10 lõi), Cổng giao tiếp: ['1x USB 2.0 Type-A', ' 1x USB 3.2 Gen 1 Type-A', ' 1x USB 3.2 Gen 1 Type-C ', ' 1x USB 3.2 Gen 2 Type-C ', ' 1x HDMI', ' 1x Jack cắm âm thanh', ' 1x RJ45 Gigabit Ethernet']",https://cellphones.com.vn/laptop-asus-expertbook-b1402cva-nk0149w.html
 Laptop ASUS VivoBook 15 X1504VA-NJ070W ,15790000.0,"Loại card đồ họa: Intel Iris Xe Graphics, Dung lượng RAM: 16GB, Loại RAM: DDR4, Số khe ram: 2 khe (8GB Onboard + 8GB SO-DIMM), Ổ cứng: 512GB M.2 NVMe PCIe 3.0 SSD, Kích thước màn hình: 15.6 inches, Công nghệ màn hình: ['Độ sáng 250nits', 'Độ phủ màu 45% NTSC', 'Màn hình chống chói', 'TÜV Rheinland-certified', 'Tỉ lệ 16:9'], Pin: 42WHrs, 3S1P, 3-cell Li-ion, Hệ điều hành: Windows 11 Home, Độ phân giải màn hình: 1920 x 1080 pixels (FullHD), Loại CPU: Intel Core i5-1335U (12MB Cache, 1.3 GHz up to 4.6 GHz, 10 lõi / 12 luồng), Cổng giao tiếp: ['1x USB 2.0 Type-A', ' 1x USB 3.2 Gen 1 Type-C', ' 2x USB 3.2 Gen 1 Type-A', ' 1x HDMI 1.4', ' 1x DC-in']",https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj070w.html
 Laptop ASUS Vivobook 15 X1504ZA-NJ1039W ,16190000.0,"Loại card đồ họa: Intel Iris Xe Graphics, Dung lượng RAM: 16GB, Loại RAM: DDR4, Số khe ram: 2 khe (8GB DDR4 Onboard + 8GB DDR4 SO-DIMM), Ổ cứng: 512GB M.2 NVMe PCIe 4.0 SSD, Kích thước màn hình: 15.6 inches, Công nghệ màn hình: ['Độ sáng 250nits', 'Độ phủ màu 45% NTSC', 'TÜV Rheinland-certified', 'Màn hình chống chói'], Pin: 42WHrs, 3S1P, 3-cell Li-ion, Hệ điều hành: Windows 11 Home , Độ phân giải màn hình: 1920 x 1080 pixels (FullHD), Loại CPU: Intel Core i7-1255U 1.7 GHz (12M Cache, up to 4.7 GHz, 10 lõi), Cổng giao tiếp: ['1x USB 2.0 Type-A', ' 1x USB 3.2 Gen 1 Type-C', ' 2x USB 3.2 Gen 1 Type-A', ' 1x HDMI 1.4', ' 1x 3.5mm Combo Audio Jack', ' 1x DC-in']",https://cellphones.com.vn/laptop-asus-vivobook-15-x1504za-nj1039w.html
 Laptop ASUS TUF Gaming F15 FX507VU-LP315W ,27990000.0,"Loại card đồ họa: ['NVIDIA GeForce RTX 4050 6GB GDDR6 ', 'Intel Iris Xe Graphics'], Dung lượng RAM: 16GB, Loại RAM: DDR5-4800 SO-DIMM, Số khe ram: 2x SO-DIMM slots, 1 x 16GB (Nâng cấp tối đa 32GB) , Ổ cứng: 512GB PCIe 4.0 NVMe M.2 SSD (Nâng cấp tối đa 2TB), Kích thước màn hình: 15.6 inches, Công nghệ màn hình: ['Độ sáng 250 nits', 'Độ phủ màu NTSC 72%, SRGB 100%, Adobe 75.35%', 'Màn hình chống chói', 'G-Sync'], Pin: 90WHrs, 4S1P, 4-cell Li-ion, Hệ điều hành: Windows 11 Home, Độ phân giải màn hình: 1920 x 1080 pixels (FullHD), Loại CPU: Intel Core i7-13620H 2.4 GHz (24M  Cache, up to 4.9 GHz, 10 cores: 6 P-cores and 4 E-cores), Cổng giao tiếp: ['1x RJ45 LAN ', ' 1x Thunderbolt 4 support DisplayPort', ' 1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC)', ' 2x USB 3.2 Gen 1 Type-A', ' 1x HDMI 2.1 FRL', ' 1x 3.5mm Combo Audio Jack Built-in array microphone']",https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vu-lp315w.html
 Laptop ASUS VivoBook S 14 OLED S5406MA-PP136W  ,24390000.0,"Loại card đồ họa: Intel Arc Graphics, Dung lượng RAM: 16GB, Loại RAM: LPDDR5X Onboard, Ổ cứng: 1TB M.2 NVMe PCIe 4.0 SSD, Kích thước màn hình: 14 inches, Công nghệ màn hình: ['Độ sáng tối đa 600nits HDR', 'Gam màu 100% DCI-P3', 'Tỷ lệ tương phản 1.000.000:1', 'Ánh sáng xanh ít gây hại hơn 70%', '1.07 tỷ màu'], Pin: 75WHrs, 4S1P, 4-cell Li-ion, Hệ điều hành: Windows 11 Home, Độ phân giải màn hình: 2880 x 1800 pixels, Loại CPU: Intel Core Ultra 5 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 lõi, 18 luồng), Cổng giao tiếp: ['2x USB 3.2 Gen 1 Type-A', '2x Thunderbolt 4 (Display / Sạc)', '1x HDMI 2.1 TMDS', '1x 3.5mm Combo Audio Jack', 'Đầu đọc thẻ Micro SD']",https://cellphones.com.vn/laptop-asus-vivobook-s-14-oled-s5406ma-pp136w.html
 Laptop ASUS ROG Strix G16 G614JU-N4132W ,35990000.0,"Loại card đồ họa: NVIDIA GeForce RTX 4050 6GB GDDR6, Dung lượng RAM: 16GB, Loại RAM: DDR5-4800 SO-DIMM, Số khe ram: Hỗ trợ bộ nhớ kênh đôi (Nâng cấp tối đa 32GB), Ổ cứng: 512GB PCIe 4.0 NVMe M.2 SSD, Kích thước màn hình: 16 inches, Công nghệ màn hình: ['Thời gian phản hồi 3ms ', ' Độ phủ màu 100.00% DCI-P3 ', ' Màn hình chống chói ', ' G-Sync ', ' ROG Nebula Display ', ' Dolby Vision HDR'], Pin:  90WHrs, 4S1P, 4-cell Li-ion, Hệ điều hành:  Windows 11 Home, Độ phân giải màn hình: 2560x1600 pixel (QHD+), Loại CPU: Intel Core i7-13650HX thế hệ 13 với xung nhịp cơ bản 2.6 GHz (bộ nhớ đệm 24M, xung nhịp cao nhất lên đến 4.9 GHz, 14 lõi: 6 P / 8 E), Cổng giao tiếp: ['1x RJ45 LAN ', ' 1x Thunderbolt 4 (DisplayPort) ', '1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC) ', ' 2x USB 3.2 Gen 2 Type-A ', ' 1x HDMI 2.1 FRL ', ' 1x 3.5mm Combo Audio Jack ']",https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n4132w.html
